interaction n.交流;相互影响
vary vi.(根据情况)变化;改变
appropriate adj.合适的;恰当的;适当的
approve vi.赞成;同意vt.批准;通过
by-contrast 相比之下
demonstrate vt.证明;说明;论证vi.表达;表露;说明;证明
gesture n.手势;姿势;姿态
witness vt.当场看到;目击;见证n.目击者;证人
employ vt.雇佣;使用;应用;雇用
identical adj.相同的;同样的
interpret vt.解释;说明;理解;把......理解为vi.口译
differ vi.相异;不同于
by-comparison 相比之下
cheek n.面颊;脸颊
favour vt.较喜欢;选择;有利于n.帮助;恩惠;赞同
bow vi.鞠躬;弯腰;点头vt.低(头)n.鞠躬;蝴蝶结
waist n.腰;腰部
make inferences 推理;推断
break-down 分解;推断;打破
barrier n.障碍;隔阂;障碍物
fake adj.假的;伪造的;冒充的n.赝品;冒充者
anger n.愤怒;怒气;怒火vt.使生气;激怒
reliable adj.可靠的;可信赖的
incident n.事件;意外事件;严重事件;冲突
trial n.审讯;审判;试验;试用
slight adj.轻微的;略微的;细小的
slightly adv.稍微;略微;些微
twin n.双胞胎之一;孪生之一adj.孪生的;双胞胎之一
nonverbal adj.非语言的;不用言语表达的;非言语的
assessment n.评估;评价;评定
assess vt.估价;评价;评估
internal adj.内在的;内部的;国内的
straighten up 直起腰;挺起身;坐直;整齐整齐
slump vi.(突然或沉重地)倒下;暴跌n.暴跌;萧条
pose vi.(为画像、拍照等摆的)姿势vt.摆好姿势n.姿势;姿态vt.造成(威胁、问题等)
bend vt.&vi.(使)弯曲;屈曲n.弯曲;偏向
reveal vt.使显露;揭示;揭露
clarify vt.澄清;阐明;讲清
in-other-words 换句话说;也就是说
educator n.教育者;教育工作者;教育家
tick vt.(对......)打钩号;打对号vi.(钟表)发出嘀嗒声n.钩号
tendency n.趋势;倾向
lower vt.放下;降低;减少adj.下面的;下方的;较小的
imply vt.暗示;意味着
barely adv.仅仅;几乎不;勉强才能;刚刚
chin n.下巴
occupy vt.占领;占用;占
stare vi.盯着看;凝视n.凝视
ceiling n.天花板;上限
distract vt.分散(注意力);使分心
perceive vt.察觉;看待;领悟
distinguish vt.&vi.区分;辨别
anxiety n.焦虑;担忧;担心
chest n.胸;胸腔
embarrassed adj.尴尬的;窘迫的;难堪的
ashamed adj.惭愧的;羞耻的;感到羞愧
merely adv.仅仅;只不过
call-on (短暂地)访问;要求(某人讲几句话);正式邀请
bother vt.使烦恼;使担心;费心;操心n.麻烦;烦恼
weep vi.&vt.哭泣;流泪;哀悼
at-work 有某种影响;在工作
conflict n.矛盾;冲突;争执vi.抵触;冲突
inquire vt.&vi.询问;打听
ultimately adv.最终;最后
adjust vt.&vi.调整;调节vt.适应
intervene vi.干预;干涉;调解;介入
react vi.反应;回应vi.(与某物)起反应
component n.组成部分;零件
tone n.语气;口气;腔调vt.调和
